#pago;PagoIntereses;PagoCapital;SeguroVida;SeguroDaños;Comision;PagoHip;SeguroCasa;PagoTotal;SaldoCredito
Año;1
69;4,040.29;1,157.63;107.34;123.15;290.00;5,718.41;243.47;5,961.88;459,531.39
70;4,030.13;1,167.79;107.07;123.15;290.00;5,718.14;243.47;5,961.61;458,363.60
71;4,019.89;1,178.03;106.80;123.15;290.00;5,717.87;243.47;5,961.34;457,185.57
72;4,009.56;1,188.36;106.52;123.15;290.00;5,717.59;243.47;5,961.06;455,997.21
Año;7
73;3,999.14;1,198.78;106.25;123.15;290.00;5,717.32;243.47;5,960.79;454,798.43
74;3,988.62;1,209.30;105.97;123.15;290.00;5,717.04;243.47;5,960.51;453,589.13
75;3,978.02;1,219.90;105.69;123.15;290.00;5,716.76;243.47;5,960.23;452,369.23
76;3,967.32;1,230.60;105.40;123.15;290.00;5,716.47;243.47;5,959.94;451,138.63
77;3,956.53;1,241.39;105.12;123.15;290.00;5,716.19;243.47;5,959.66;449,897.24
78;3,945.64;1,252.28;104.83;123.15;290.00;5,715.90;243.47;5,959.37;448,644.96
79;3,934.66;1,263.26;104.53;123.15;290.00;5,715.60;243.47;5,959.07;447,381.70
80;3,923.58;1,274.34;104.24;123.15;290.00;5,715.31;243.47;5,958.78;446,107.36
81;3,912.40;1,285.52;103.94;123.15;290.00;5,715.01;243.47;5,958.48;444,821.84
82;3,901.13;1,296.79;103.64;123.15;290.00;5,714.71;243.47;5,958.18;443,525.05
83;3,889.76;1,308.16;103.34;123.15;290.00;5,714.41;243.47;5,957.88;442,216.89
84;3,878.28;1,319.64;103.04;123.15;290.00;5,714.11;243.47;5,957.58;440,897.25
Año;8
85;3,866.71;1,331.21;102.73;123.15;290.00;5,713.80;243.47;5,957.27;439,566.04
86;3,855.03;1,342.89;102.42;123.15;290.00;5,713.49;243.47;5,956.96;438,223.15
87;3,843.26;1,354.66;102.11;123.15;290.00;5,713.18;243.47;5,956.65;436,868.49
88;3,831.38;1,366.54;101.79;123.15;290.00;5,712.86;243.47;5,956.33;435,501.95
89;3,819.39;1,378.53;101.47;123.15;290.00;5,712.54;243.47;5,956.01;434,123.42
90;3,807.30;1,390.62;101.15;123.15;290.00;5,712.22;243.47;5,955.69;432,732.80
91;3,795.11;1,402.81;100.83;123.15;290.00;5,711.90;243.47;5,955.37;431,329.99
92;3,782.80;1,415.12;100.50;123.15;290.00;5,711.57;243.47;5,955.04;429,914.87
93;3,770.39;1,427.53;100.17;123.15;290.00;5,711.24;243.47;5,954.71;428,487.35
94;3,757.87;1,440.05;99.84;123.15;290.00;5,710.91;243.47;5,954.38;427,047.30
95;3,745.24;1,452.68;99.50;123.15;290.00;5,710.57;243.47;5,954.04;425,594.62
96;3,732.50;1,465.42;99.16;123.15;290.00;5,710.23;243.47;5,953.70;424,129.21
Año;9
97;3,719.65;1,478.27;98.82;123.15;290.00;5,709.89;243.47;5,953.36;422,650.94
98;3,706.69;1,491.23;98.48;123.15;290.00;5,709.55;243.47;5,953.02;421,159.71
99;3,693.61;1,504.31;98.13;123.15;290.00;5,709.20;243.47;5,952.67;419,655.40
100;3,680.42;1,517.50;97.78;123.15;290.00;5,708.85;243.47;5,952.32;418,137.89
101;3,667.11;1,530.81;97.43;123.15;290.00;5,708.50;243.47;5,951.97;416,607.08
102;3,653.68;1,544.24;97.07;123.15;290.00;5,708.14;243.47;5,951.61;415,062.84
103;3,640.14;1,557.78;96.71;123.15;290.00;5,707.78;243.47;5,951.25;413,505.06
104;3,626.48;1,571.44;96.35;123.15;290.00;5,707.42;243.47;5,950.89;411,933.62
105;3,612.70;1,585.22;95.98;123.15;290.00;5,707.05;243.47;5,950.52;410,348.40
106;3,598.79;1,599.13;95.61;123.15;290.00;5,706.68;243.47;5,950.15;408,749.27
107;3,584.77;1,613.15;95.24;123.15;290.00;5,706.31;243.47;5,949.78;407,136.12
108;3,570.62;1,627.30;94.86;123.15;290.00;5,705.93;243.47;5,949.40;405,508.82
Año;10
109;3,556.35;1,641.57;94.48;123.15;290.00;5,705.55;243.47;5,949.02;403,867.25
110;3,541.95;1,655.97;94.10;123.15;290.00;5,705.17;243.47;5,948.64;402,211.28
111;3,527.43;1,670.49;93.72;123.15;290.00;5,704.79;243.47;5,948.26;400,540.79
112;3,512.78;1,685.14;93.33;123.15;290.00;5,704.40;243.47;5,947.87;398,855.65
113;3,498.00;1,699.92;92.93;123.15;290.00;5,704.00;243.47;5,947.47;397,155.74
114;3,483.09;1,714.83;92.54;123.15;290.00;5,703.61;243.47;5,947.08;395,440.91
115;3,468.05;1,729.87;92.14;123.15;290.00;5,703.21;243.47;5,946.68;393,711.04
116;3,452.88;1,745.04;91.73;123.15;290.00;5,702.80;243.47;5,946.27;391,966.00
117;3,437.58;1,760.34;91.33;123.15;290.00;5,702.40;243.47;5,945.87;390,205.66
118;3,422.14;1,775.78;90.92;123.15;290.00;5,701.99;243.47;5,945.46;388,429.88
119;3,406.57;1,791.35;90.50;123.15;290.00;5,701.57;243.47;5,945.04;386,638.53
120;3,390.86;1,807.06;90.09;123.15;290.00;5,701.16;243.47;5,944.63;384,831.46
Año;11
121;3,375.01;1,822.91;89.67;123.15;290.00;5,700.74;243.47;5,944.21;383,008.55
122;3,359.02;1,838.90;89.24;123.15;290.00;5,700.31;243.47;5,943.78;381,169.65
123;3,342.89;1,855.03;88.81;123.15;290.00;5,699.88;243.47;5,943.35;379,314.62
124;3,326.62;1,871.30;88.38;123.15;290.00;5,699.45;243.47;5,942.92;377,443.33
125;3,310.21;1,887.71;87.94;123.15;290.00;5,699.01;243.47;5,942.48;375,555.62
126;3,293.66;1,904.26;87.50;123.15;290.00;5,698.57;243.47;5,942.04;373,651.36
127;3,276.96;1,920.96;87.06;123.15;290.00;5,698.13;243.47;5,941.60;371,730.40
128;3,260.11;1,937.81;86.61;123.15;290.00;5,697.68;243.47;5,941.15;369,792.59
129;3,243.12;1,954.80;86.16;123.15;290.00;5,697.23;243.47;5,940.70;367,837.78
130;3,225.97;1,971.95;85.71;123.15;290.00;5,696.78;243.47;5,940.25;365,865.83
131;3,208.68;1,989.24;85.25;123.15;290.00;5,696.32;243.47;5,939.79;363,876.59
132;3,191.23;2,006.69;84.78;123.15;290.00;5,695.85;243.47;5,939.32;361,869.90
Año;12
133;3,173.63;2,024.29;84.32;123.15;290.00;5,695.39;243.47;5,938.86;359,845.61
134;3,155.88;2,042.04;83.84;123.15;290.00;5,694.91;243.47;5,938.38;357,803.57
135;3,137.97;2,059.95;83.37;123.15;290.00;5,694.44;243.47;5,937.91;355,743.62
136;3,119.90;2,078.02;82.89;123.15;290.00;5,693.96;243.47;5,937.43;353,665.61
137;3,101.68;2,096.24;82.40;123.15;290.00;5,693.47;243.47;5,936.94;351,569.37
138;3,083.30;2,114.62;81.92;123.15;290.00;5,692.99;243.47;5,936.46;349,454.74
139;3,064.75;2,133.17;81.42;123.15;290.00;5,692.49;243.47;5,935.96;347,321.57
140;3,046.04;2,151.88;80.93;123.15;290.00;5,692.00;243.47;5,935.47;345,169.70
141;3,027.17;2,170.75;80.42;123.15;290.00;5,691.49;243.47;5,934.96;342,998.95
142;3,008.13;2,189.79;79.92;123.15;290.00;5,690.99;243.47;5,934.46;340,809.16
143;2,988.93;2,208.99;79.41;123.15;290.00;5,690.48;243.47;5,933.95;338,600.17
144;2,969.55;2,228.37;78.89;123.15;290.00;5,689.96;243.47;5,933.43;336,371.80
Año;13
145;2,950.01;2,247.91;78.37;123.15;290.00;5,689.44;243.47;5,932.91;334,123.89
