3703.12;970.67;109.42;127.14;290.00;5200.35;243.47
3694.61;979.18;109.16;127.14;290.00;5200.09;243.47
3686.02;987.77;108.91;127.14;290.00;5199.84;243.47
3677.36;996.43;108.65;127.14;290.00;5199.58;243.47
3668.62;1005.17;108.40;127.14;290.00;5199.33;243.47
3659.80;1013.99;108.14;127.14;290.00;5199.07;243.47
3650.91;1022.88;107.87;127.14;290.00;5198.80;243.47
3641.94;1031.85;107.61;127.14;290.00;5198.54;243.47
3632.89;1040.90;107.34;127.14;290.00;5198.27;243.47
3623.76;1050.03;107.07;127.14;290.00;5198.00;243.47
3614.55;1059.24;106.80;127.14;290.00;5197.73;243.47
3605.26;1068.53;106.52;127.14;290.00;5197.45;243.47
		
3595.89;1077.90;106.25;127.14;290.00;5197.18;243.47
3586.44;1087.35;105.97;127.14;290.00;5196.90;243.47
3576.90;1096.89;105.69;127.14;290.00;5196.62;243.47
3567.28;1106.51;105.40;127.14;290.00;5196.33;243.47
3557.58;1116.21;105.12;127.14;290.00;5196.05;243.47
3547.79;1126.00;104.83;127.14;290.00;5195.76;243.47
3537.91;1135.88;104.53;127.14;290.00;5195.46;243.47
3527.95;1145.84;104.24;127.14;290.00;5195.17;243.47
3517.90;1155.89;103.94;127.14;290.00;5194.87;243.47
3507.76;1166.03;103.64;127.14;290.00;5194.57;243.47
3497.54;1176.25;103.34;127.14;290.00;5194.27;243.47
3487.22;1186.57;103.04;127.14;290.00;5193.97;243.47
						
3476.82;1196.97;102.73;127.14;290.00;;243.47
3466.32;1207.47;102.42;127.14;290.00;;243.47
3455.73;1218.06;102.11;127.14;290.00;;243.47
3445.05;1228.74;101.79;127.14;290.00;;243.47
3434.28;1239.51;101.47;127.14;290.00;;243.47
3423.41;1250.38;101.15;127.14;290.00;;243.47
3412.44;1261.35;100.83;127.14;290.00;;243.47
3401.38;1272.41;100.50;127.14;290.00;;243.47
3390.22;1283.57;100.17;127.14;290.00;;243.47
3378.96;1294.83;99.84;127.14;290.00;;243.47
3367.61;1306.18;99.50;127.14;290.00;;243.47
3356.15;1317.64;99.16;127.14;290.00;;243.47
						
3344.59;1329.20;98.64;127.14;290.00;;243.47
3332.94;1340.85;98.30;127.14;290.00;;243.47
3321.18;1352.61;97.95;127.14;290.00;;243.47
3309.32;1364.47;97.60;127.14;290.00;;243.47
3297.35;1376.44;97.25;127.14;290.00;;243.47
3285.28;1388.51;96.89;127.14;290.00;;243.47
3273.10;1400.69;96.53;127.14;290.00;;243.47
3260.82;1412.97;96.17;127.14;290.00;;243.47
3248.42;1425.37;95.81;127.14;290.00;;243.47
3235.92;1437.87;95.44;127.14;290.00;;243.47
3223.31;1450.48;95.07;127.14;290.00;;243.47
3210.59;1463.20;94.69;127.14;290.00;;243.47
						
3197.76;1476.03;94.31;127.14;290.00;;243.47
3184.81;1488.98;93.93;127.14;290.00;;243.47
3171.76;1502.03;93.55;127.14;290.00;;243.47
3158.58;1515.21;93.16;127.14;290.00;;243.47
3145.29;1528.50;92.77;127.14;290.00;;243.47
3131.89;1541.90;92.37;127.14;290.00;;243.47
3118.37;1555.42;91.97;127.14;290.00;;243.47
3104.73;1569.06;91.57;127.14;290.00;;243.47
3090.97;1582.82;91.16;127.14;290.00;;243.47
3077.08;1596.71;90.75;127.14;290.00;;243.47
3063.08;1610.71;90.34;127.14;290.00;;243.47
3048.95;1624.84;89.92;127.14;290.00;;243.47
						
3034.70;1639.09;89.50;127.14;290.00;;243.47
3020.33;1653.46;89.08;127.14;290.00;;243.47
3005.83;1667.96;88.65;127.14;290.00;;243.47
2991.20;1682.59;88.22;127.14;290.00;;243.47
2976.44;1697.35;87.79;127.14;290.00;;243.47
2961.56;1712.23;87.35;127.14;290.00;;243.47
2946.54;1727.25;86.90;127.14;290.00;;243.47
2931.39;1742.40;86.46;127.14;290.00;;243.47
2916.11;1757.68;86.01;127.14;290.00;;243.47
2900.70;1773.09;85.55;127.14;290.00;;243.47
2885.15;1788.64;85.09;127.14;290.00;;243.47
2869.46;1804.33;84.63;127.14;290.00;;243.47
						
2853.64;1820.15;84.16;127.14;290.00;;243.47
2837.67;1836.12;83.69;127.14;290.00;;243.47
2821.57;1852.22;83.22;127.14;290.00;;243.47
2805.33;1868.46;82.74;127.14;290.00;;243.47
2788.94;1884.85;82.26;127.14;290.00;;243.47
2772.41;1901.38;81.77;127.14;290.00;;243.47
2755.73;1918.06;81.28;127.14;290.00;;243.47
2738.91;1934.88;80.78;127.14;290.00;;243.47
2721.94;1951.85;80.28;127.14;290.00;;243.47
2704.83;1968.96;79.77;127.14;290.00;;243.47
2687.56;1986.23;79.26;127.14;290.00;;243.47
2670.14;2003.65;78.75;127.14;290.00;;243.47
						
2652.57;2021.22;78.23;127.14;290.00;;243.47
2634.84;2038.95;77.71;127.14;290.00;;243.47
2616.96;2056.83;77.18;127.14;290.00;;243.47
