693.44;799.82;57.55;127.14;290.0;1967.95;262.7;2230.65
684.99;808.27;57.07;127.14;290.0;1967.47;262.7;2230.17
677.92;815.34;56.59;127.14;290.0;1966.99;262.7;2229.69
670.78;822.48;56.11;127.14;290.0;1966.51;262.7;2229.21
663.58;829.68;55.63;127.14;290.0;1966.03;262.7;2228.73
656.32;836.94;55.15;127.14;290.0;1965.55;262.7;2228.25
649.0;844.26;54.67;127.14;290.0;1965.07;262.7;2227.77
641.61;851.65;54.19;127.14;290.0;1964.59;262.7;2227.29
634.15;859.11;53.71;127.14;290.0;1964.11;262.7;2226.81

626.64;866.62;53.23;127.14;290.0;1963.63;262.7;2226.33
619.05;874.21;52.75;127.14;290.0;1963.15;262.7;2225.85
611.4;881.86;52.27;127.14;290.0;1962.67;262.7;2225.37
603.68;889.58;51.79;127.14;290.0;1962.19;262.7;2224.89
595.9;897.36;51.31;127.14;290.0;1961.71;262.7;2224.41
588.04;905.22;50.83;127.14;290.0;1961.23;262.7;2223.93
580.12;913.14;50.35;127.14;290.0;1960.75;262.7;2223.45
572.13;921.13;49.87;127.14;290.0;1960.27;262.7;2222.97
564.07;929.19;49.39;127.14;290.0;1959.79;262.7;2222.49
555.94;937.32;48.91;127.14;290.0;1959.31;262.7;2222.01
547.73;945.53;48.43;127.14;290.0;1958.83;262.7;2221.53
539.46;953.8;47.95;127.14;290.0;1958.35;262.7;2221.05

531.11;962.15;47.47;127.14;290.0;1957.87;262.7;2220.57
522.69;970.57;46.99;127.14;290.0;1957.39;262.7;2220.09
514.2;979.06;46.51;127.14;290.0;1956.91;262.7;2219.61
505.63;987.63;46.03;127.14;290.0;1956.43;262.7;2219.13
496.98;996.28;45.55;127.14;290.0;1955.95;262.7;2218.65
488.27;1004.99;45.07;127.14;290.0;1955.47;262.7;2218.17
479.47;1013.79;44.59;127.14;290.0;1954.99;262.7;2217.69
470.6;1022.66;44.11;127.14;290.0;1954.51;262.7;2217.21
461.65;1031.61;43.63;127.14;290.0;1954.03;262.7;2216.73
452.62;1040.64;43.15;127.14;290.0;1953.55;262.7;2216.25
443.51;1049.75;42.67;127.14;290.0;1953.07;262.7;2215.77
434.32;1058.94;42.19;127.14;290.0;1952.59;262.7;2215.29

425.06;1068.2;41.71;127.14;290.0;1952.11;262.7;2214.81
415.71;1077.55;41.23;127.14;290.0;1951.63;262.7;2214.33
406.28;1086.98;40.75;127.14;290.0;1951.15;262.7;2213.85
396.76;1096.5;40.27;127.14;290.0;1950.67;262.7;2213.37
387.17;1106.09;39.79;127.14;290.0;1950.19;262.7;2212.89
377.49;1115.77;39.31;127.14;290.0;1949.71;262.7;2212.41
367.72;1125.54;38.83;127.14;290.0;1949.23;262.7;2211.93
357.87;1135.39;38.35;127.14;290.0;1948.75;262.7;2211.45
347.94;1145.32;37.87;127.14;290.0;1948.27;262.7;2210.97
337.91;1155.35;37.39;127.14;290.0;1947.79;262.7;2210.49
327.8;1165.46;36.91;127.14;290.0;1947.31;262.7;2210.01
317.6;1175.66;36.43;127.14;290.0;1946.83;262.7;2209.53

307.31;1185.95;35.95;127.14;290.0;1946.35;262.7;2209.05
296.93;1196.33;35.47;127.14;290.0;1945.87;262.7;2208.57
286.46;1206.8;34.99;127.14;290.0;1945.39;262.7;2208.09
275.9;1217.36;34.51;127.14;290.0;1944.91;262.7;2207.61
265.25;1228.01;34.03;127.14;290.0;1944.43;262.7;2207.13
254.5;1238.76;33.55;127.14;290.0;1943.95;262.7;2206.65
243.66;1249.6;33.07;127.14;290.0;1943.47;262.7;2206.17
232.72;1260.54;32.59;127.14;290.0;1942.99;262.7;2205.69
221.69;1271.57;32.11;127.14;290.0;1942.51;262.7;2205.21
210.56;1282.7;31.63;127.14;290.0;1942.03;262.7;2204.73
199.34;1293.92;31.15;127.14;290.0;1941.55;262.7;2204.25
188.01;1305.25;30.67;127.14;290.0;1941.07;262.7;2203.77

176.59;1316.67;30.19;127.14;290.0;1940.59;262.7;2203.29
165.06;1328.2;29.71;127.14;290.0;1940.11;262.7;2202.81
153.44;1339.82;29.23;127.14;290.0;1939.63;262.7;2202.33
141.72;1351.54;28.75;127.14;290.0;1939.15;262.7;2201.85
129.89;1363.37;28.27;127.14;290.0;1938.67;262.7;2201.37
117.95;1375.31;27.79;127.14;290.0;1938.19;262.7;2200.89
105.92;1387.34;27.31;127.14;290.0;1937.71;262.7;2200.41
93.78;1399.48;26.83;127.14;290.0;1937.23;262.7;2199.93
81.53;1411.73;26.35;127.14;290.0;1936.75;262.7;2199.45
69.17;1424.09;25.87;127.14;290.0;1936.27;262.7;2198.97
56.71;1436.55;25.39;127.14;290.0;1935.79;262.7;2198.49
44.14;1449.12;24.91;127.14;290.0;1935.31;262.7;2198.01

31.46;1461.8;24.43;127.14;290.0;1934.83;262.7;2197.53
18.66;1474.6;23.95;127.14;290.0;1934.35;262.7;2197.05
5.76;657.79;23.47;127.14;290.0;1104.16;262.7;1366.86
